Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P1651,Powertrain,Power Steering Pressure (PSP) Switch Input,"The powertrain control module (PCM) counts the number of vehicle speed transitions from
0 to a calibrated speed. After a calibrated number of speed transitions, the PCM expects
the PSP input to change. This DTC is set if the transition is not detected.
Possible (cid:1) Vehicle towed with the engine running
Causes: (cid:1) The power steering hydraulic concern was repaired but the DTC was not erased
(cid:1) PSP switch/shorting bar damaged
(cid:1) SIG RTN circuit open
(cid:1) PSP circuit open or shorted to SIGRTN
Diagnostic Check if the vehicle was towed or a power steering repair was carried out.
Aids: Observe the PSP V PID while checking the wires for intermittent concerns.",N/A,N/A,,"DTC Code: P1651
Title: Power Steering Pressure (PSP) Switch Input
System Description: The powertrain control module (PCM) counts the number of vehicle speed transitions from
0 to a calibrated speed. After a calibrated number of speed transitions, the PCM expects
the PSP input to change. This DTC is set if the transition is not detected.
Possible (cid:1) Vehicle towed with the engine running
Causes: (cid:1) The power steering hydraulic concern was repaired but the DTC was not erased
(cid:1) PSP switch/shorting bar damaged
(cid:1) SIG RTN circuit open
(cid:1) PSP circuit open or shorted to SIGRTN
Diagnostic Check if the vehicle was towed or a power steering repair was carried out.
Aids: Observe the PSP V PID while checking the wires for intermittent concerns.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P1674,Powertrain,Control Module Software Corrupted,"Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2105.
Possible (cid:1) Software incompatibility issue
Causes: (cid:1) Damaged PCM
Diagnostic Verify the PCM is at the latest calibration level.
Aids:",N/A,N/A,,"DTC Code: P1674
Title: Control Module Software Corrupted
System Description: Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2105.
Possible (cid:1) Software incompatibility issue
Causes: (cid:1) Damaged PCM
Diagnostic Verify the PCM is at the latest calibration level.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P1703,Powertrain,Brake Switch Out of Self-Test Range,"Indicates that during the key on engine off (KOEO) self-test, the brake pedal position
(BPP) signal was high, or during the key on engine running (KOER) self-test, the BPP
signal did not cycle high and low.","(cid:1) Open or short in the BPP circuit
(cid:1) Open or short in the stoplamp circuits
(cid:1) Concern in module(s) connected to the BPP circuit
(cid:1) Damaged brake switch
(cid:1) Misadjusted brake switch","Check for correct function of the stoplamps. Using the scan tool, check the BPP PID.
The stoplamps and PID should toggle on and off with brake pedal activation.",,"DTC Code: P1703
Title: Brake Switch Out of Self-Test Range
System Description: Indicates that during the key on engine off (KOEO) self-test, the brake pedal position
(BPP) signal was high, or during the key on engine running (KOER) self-test, the BPP
signal did not cycle high and low.
Possible Causes: (cid:1) Open or short in the BPP circuit
(cid:1) Open or short in the stoplamp circuits
(cid:1) Concern in module(s) connected to the BPP circuit
(cid:1) Damaged brake switch
(cid:1) Misadjusted brake switch
Diagnostic Steps/Aids: Check for correct function of the stoplamps. Using the scan tool, check the BPP PID.
The stoplamps and PID should toggle on and off with brake pedal activation.
Vehicle Application: "
P1705,Powertrain,Transmission Range Sensor Out of Self-Test Range,The transmission range circuit is not indicating PARK/NEUTRAL during self-test.,(cid:1) Gear selector not in PARK/NEUTRAL,Verify the gear selector is in PARK/NEUTRAL.,,"DTC Code: P1705
Title: Transmission Range Sensor Out of Self-Test Range
System Description: The transmission range circuit is not indicating PARK/NEUTRAL during self-test.
Possible Causes: (cid:1) Gear selector not in PARK/NEUTRAL
Diagnostic Steps/Aids: Verify the gear selector is in PARK/NEUTRAL.
Vehicle Application: "
P1709,Powertrain,Park/Neutral Position (PNP) Switch Out of Self-Test Range,"This DTC indicates that the voltage is high when it should be low.
Possible (cid:1) PNP/CPP circuit short to PWR
Causes: (cid:1) Damaged PNP or CPP switch
(cid:1) PNP/CPP circuit open in the SIGRTN",N/A,"When activating either the PNP or CPP switch, the voltage should cycle from 5 volts to
low.",,"DTC Code: P1709
Title: Park/Neutral Position (PNP) Switch Out of Self-Test Range
System Description: This DTC indicates that the voltage is high when it should be low.
Possible (cid:1) PNP/CPP circuit short to PWR
Causes: (cid:1) Damaged PNP or CPP switch
(cid:1) PNP/CPP circuit open in the SIGRTN
Possible Causes: N/A
Diagnostic Steps/Aids: When activating either the PNP or CPP switch, the voltage should cycle from 5 volts to
low.
Vehicle Application: "
P1729,Powertrain,4x4L Switch,"The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not
sense appropriate voltage when the switch is cycled on and off, a DTC sets for mechanical
shift on the fly systems.
Possible (cid:1) The 4x4L harness between the PCM and the 4x4L switch is open or shorted
Causes: (cid:1) Damaged 4x4L switch
Diagnostic Verify the 4x4L switch cycles on/off.
Aids:",N/A,N/A,,"DTC Code: P1729
Title: 4x4L Switch
System Description: The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not
sense appropriate voltage when the switch is cycled on and off, a DTC sets for mechanical
shift on the fly systems.
Possible (cid:1) The 4x4L harness between the PCM and the 4x4L switch is open or shorted
Causes: (cid:1) Damaged 4x4L switch
Diagnostic Verify the 4x4L switch cycles on/off.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P1780,Powertrain,Transmission Control Switch (TCS) Out of Self-Test Range,"During key on engine running (KOER) self-test the TCS must be cycled, or a DTC is
set.
Possible (cid:1) TCS not cycled during the self-test.
Causes: (cid:1) TCS circuit short or open
(cid:1) Damaged TCS switch",N/A,Verify the TCS switch cycles on/off.,,"DTC Code: P1780
Title: Transmission Control Switch (TCS) Out of Self-Test Range
System Description: During key on engine running (KOER) self-test the TCS must be cycled, or a DTC is
set.
Possible (cid:1) TCS not cycled during the self-test.
Causes: (cid:1) TCS circuit short or open
(cid:1) Damaged TCS switch
Possible Causes: N/A
Diagnostic Steps/Aids: Verify the TCS switch cycles on/off.
Vehicle Application: "
P1781,Powertrain,4x4L Switch Out of Self-Test Range,"The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not
sense low voltage when the switch is on, the DTC sets.
Possible (cid:1) 4x4L harness open or shorted
Causes: (cid:1) Damaged electronic shift module
Diagnostic Verify the 4x4L switch cycles on/off.
Aids:",,,,"DTC Code: P1781
Title: 4x4L Switch Out of Self-Test Range
System Description: The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not
sense low voltage when the switch is on, the DTC sets.
Possible (cid:1) 4x4L harness open or shorted
Causes: (cid:1) Damaged electronic shift module
Diagnostic Verify the 4x4L switch cycles on/off.
Aids:
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P1900,Powertrain,Output Shaft Speed (OSS) Sensor Circuit Intermittent,"The OSS sensor signal to the powertrain control module (PCM) is irregular or
interrupted.","(cid:1) Harness connector not properly seated
(cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) OSS sensor damaged, or not installed properly","Verify harness and connector integrity.
Verify proper installation of the OSS sensor.",,"DTC Code: P1900
Title: Output Shaft Speed (OSS) Sensor Circuit Intermittent
System Description: The OSS sensor signal to the powertrain control module (PCM) is irregular or
interrupted.
Possible Causes: (cid:1) Harness connector not properly seated
(cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) OSS sensor damaged, or not installed properly
Diagnostic Steps/Aids: Verify harness and connector integrity.
Verify proper installation of the OSS sensor.
Vehicle Application: "
P1901,Powertrain,Turbine Shaft Speed (TSS) Sensor Circuit Intermittent,"The TSS sensor signal to the powertrain control module (PCM) is irregular or
interrupted.
Possible (cid:1) Harness connector not properly seated
Causes: (cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) TSS sensor damaged or not installed properly",N/A,"Verify harness and connector integrity.
Verify proper installation of the TSS sensor.",,"DTC Code: P1901
Title: Turbine Shaft Speed (TSS) Sensor Circuit Intermittent
System Description: The TSS sensor signal to the powertrain control module (PCM) is irregular or
interrupted.
Possible (cid:1) Harness connector not properly seated
Causes: (cid:1) Harness intermittently shorted or open
(cid:1) Harness connector damaged
(cid:1) TSS sensor damaged or not installed properly
Possible Causes: N/A
Diagnostic Steps/Aids: Verify harness and connector integrity.
Verify proper installation of the TSS sensor.
Vehicle Application: "
P2004,Powertrain,Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1),"This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates
open. This DTC replaces P1518 and P1537.
Possible (cid:1) IMRC monitor signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator or solenoid
(cid:1) Blocked vacuum hoses
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2004
Title: Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1)
System Description: This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates
open. This DTC replaces P1518 and P1537.
Possible (cid:1) IMRC monitor signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator or solenoid
(cid:1) Blocked vacuum hoses
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2005,Powertrain,Intake Manifold Runner Control (IMRC) Stuck Open (Bank 2),"This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates
open. This DTC replaces P1538.
Possible (cid:1) IMRC monitor signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator or solenoid
(cid:1) Damaged PCM
(cid:1) Blocked vacuum hoses
Diagnostic An IMRCM PID reading near approximately 1 volt at closed throttle may indicate a fault.
Aids:",N/A,N/A,,"DTC Code: P2005
Title: Intake Manifold Runner Control (IMRC) Stuck Open (Bank 2)
System Description: This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates
open. This DTC replaces P1538.
Possible (cid:1) IMRC monitor signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator or solenoid
(cid:1) Damaged PCM
(cid:1) Blocked vacuum hoses
Diagnostic An IMRCM PID reading near approximately 1 volt at closed throttle may indicate a fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2006,Powertrain,Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1),"This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates
closed. This DTC replaces P1512 and P1519.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) IMRC control circuit open
(cid:1) IMRC monitor circuit short to VREF
(cid:1) Damaged IMRC actuator or solenoid
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2006
Title: Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1)
System Description: This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates
closed. This DTC replaces P1512 and P1519.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) IMRC control circuit open
(cid:1) IMRC monitor circuit short to VREF
(cid:1) Damaged IMRC actuator or solenoid
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2007,Powertrain,Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2),"This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates
closed. This DTC replaces P1513.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) IMRC control circuit open
(cid:1) IMRC monitor circuit short to VREF
(cid:1) Damaged IMRC actuator or solenoid
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2007
Title: Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2)
System Description: This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates
closed. This DTC replaces P1513.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) IMRC control circuit open
(cid:1) IMRC monitor circuit short to VREF
(cid:1) Damaged IMRC actuator or solenoid
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2008,Powertrain,Intake Manifold Runner Control (IMRC) Circuit Open (Bank 1),"This DTC indicates a failure in the IMRC primary control circuit. This DTC replaces
P1520.
Possible (cid:1) IMRC control circuit open
Causes:
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2008
Title: Intake Manifold Runner Control (IMRC) Circuit Open (Bank 1)
System Description: This DTC indicates a failure in the IMRC primary control circuit. This DTC replaces
P1520.
Possible (cid:1) IMRC control circuit open
Causes:
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2014,Powertrain,Intake Manifold Runner Position Sensor/Switch Circuit (Bank 1),"The intake manifold runner control (IMRC) system is monitored for failure during continuous
or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed
bank for IMRC actuator assemblies with dual monitor switches. The test fails when the
signal on the monitor pin is outside an expected calibrated range. This DTC replaces
P1516.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) Mechanical concern - bind, seize, damage or obstruction of IMRC hardware
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2014
Title: Intake Manifold Runner Position Sensor/Switch Circuit (Bank 1)
System Description: The intake manifold runner control (IMRC) system is monitored for failure during continuous
or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed
bank for IMRC actuator assemblies with dual monitor switches. The test fails when the
signal on the monitor pin is outside an expected calibrated range. This DTC replaces
P1516.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) Mechanical concern - bind, seize, damage or obstruction of IMRC hardware
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2015,Powertrain,Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 1),"The intake manifold runner control (IMRC) system is monitored for failures. Each DTC
distinguishes the corresponding failed bank. The test fails when the system detects the
presence of a broken or persistently out of range linkage.
Possible (cid:1) Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware
Causes:
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P2015
Title: Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 1)
System Description: The intake manifold runner control (IMRC) system is monitored for failures. Each DTC
distinguishes the corresponding failed bank. The test fails when the system detects the
presence of a broken or persistently out of range linkage.
Possible (cid:1) Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware
Causes:
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2019,Powertrain,Intake Manifold Runner Position Sensor/Switch Circuit (Bank 2),"The intake manifold runner control (IMRC) system is monitored for failure during continuous
or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed
bank for IMRC actuator assemblies with dual monitor switches. The test fails when the
signal on the monitor pin is outside an expected calibrated range. This DTC replaces
P1517.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) Mechanical concern - bind, seize, damage or obstruction of IMRC hardware
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.",N/A,N/A,,"DTC Code: P2019
Title: Intake Manifold Runner Position Sensor/Switch Circuit (Bank 2)
System Description: The intake manifold runner control (IMRC) system is monitored for failure during continuous
or key on engine off (KOEO) self-test. Each DTC distinguishes the corresponding failed
bank for IMRC actuator assemblies with dual monitor switches. The test fails when the
signal on the monitor pin is outside an expected calibrated range. This DTC replaces
P1517.
Possible (cid:1) IMRC monitor circuit open
Causes: (cid:1) Mechanical concern - bind, seize, damage or obstruction of IMRC hardware
Diagnostic Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is
Aids: commanded open or closed.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2020,Powertrain,Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance,See the description for DTC P2015.,See the possible causes for DTC P2015.,,,"DTC Code: P2020
Title: Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance
System Description: See the description for DTC P2015.
Possible Causes: See the possible causes for DTC P2015.
Diagnostic Steps/Aids: 
Vehicle Application: "
P2065,Powertrain,Fuel Level Sensor B Circuit,"Fuel level information is sent to the powertrain control module (PCM) on the
communication link.
Possible (cid:1) Communication link concern
Causes: (cid:1) Damaged instrument cluster
(cid:1) Damaged smart junction box (SJB)
(cid:1) Damaged PCM
Diagnostic Refer to the Workshop Manual Section 413-01, Instrument Cluster for fuel level
Aids: indicator diagnosis.",N/A,N/A,,"DTC Code: P2065
Title: Fuel Level Sensor B Circuit
System Description: Fuel level information is sent to the powertrain control module (PCM) on the
communication link.
Possible (cid:1) Communication link concern
Causes: (cid:1) Damaged instrument cluster
(cid:1) Damaged smart junction box (SJB)
(cid:1) Damaged PCM
Diagnostic Refer to the Workshop Manual Section 413-01, Instrument Cluster for fuel level
Aids: indicator diagnosis.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2066,Powertrain,Fuel Level Sensor B Circuit Range/Performance,"See the description for DTC P2065.
Possible See the","for DTC P2065.
Causes:
Diagnostic See the","for DTC P2065.
Aids:",,"DTC Code: P2066
Title: Fuel Level Sensor B Circuit Range/Performance
System Description: See the description for DTC P2065.
Possible See the
Possible Causes: for DTC P2065.
Causes:
Diagnostic See the
Diagnostic Steps/Aids: for DTC P2065.
Aids:
Vehicle Application: "
P2067,Powertrain,Fuel Level Sensor B Circuit Low,"See the description for DTC P2065.
Possible See the","for DTC P2065.
Causes:
Diagnostic See the","for DTC P2065.
Aids:",,"DTC Code: P2067
Title: Fuel Level Sensor B Circuit Low
System Description: See the description for DTC P2065.
Possible See the
Possible Causes: for DTC P2065.
Causes:
Diagnostic See the
Diagnostic Steps/Aids: for DTC P2065.
Aids:
Vehicle Application: "
P2068,Powertrain,Fuel Level Sensor B Circuit High,"See the description for DTC P2065.
Possible See the","for DTC P2065.
Causes:
Diagnostic See the","for DTC P2065.
Aids:",,"DTC Code: P2068
Title: Fuel Level Sensor B Circuit High
System Description: See the description for DTC P2065.
Possible See the
Possible Causes: for DTC P2065.
Causes:
Diagnostic See the
Diagnostic Steps/Aids: for DTC P2065.
Aids:
Vehicle Application: "
P2070,Powertrain,Intake Manifold Tuning Valve (IMTV) Stuck Open Bank 1,"The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:",N/A,N/A,,"DTC Code: P2070
Title: Intake Manifold Tuning Valve (IMTV) Stuck Open Bank 1
System Description: The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2071,Powertrain,Intake Manifold Tuning Valve (IMTV) Stuck Closed Bank 1,"The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator
(cid:1) IMTV circuit open
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:",N/A,N/A,,"DTC Code: P2071
Title: Intake Manifold Tuning Valve (IMTV) Stuck Closed Bank 1
System Description: The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMRC actuator
(cid:1) IMTV circuit open
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2072,Powertrain,Throttle Actuator Control (TAC) System - Ice Breakage,"This DTC only identifies that the strategy has carried out several open and close cycles to
remove potential ice build up. This DTC does not imply any system concerns, only that the
mode has occurred, and that mode may be causing a long start time.
Possible (cid:1) Ice or oil in the intake air system could be the result of a positive crankcase
Causes: ventilation (PCV) system concern
Diagnostic Check the PCV system for evidence of water or ice. Disconnect the intake air fresh air
Aids: plenum from the throttle body. Check for water or oily residue at the PCV fresh air port.
Disconnect the tube at the valve cover and check the tube for ice obstruction/ice. Start the
engine and, to check the PCV system, place a piece of cardboard on the crankcase vent in
the rocker cover. If the cardboard is held on the crankcase vent and fumes are not exiting,
reconnect the tube to the valve cover and the intake air port. If the test passes, the PCV
system is OK. If the cardboard is not held in place, turn off the engine and check the PCV
valve side of the system for ice or obstruction and repair as necessary. If no obstruction is
found there, isolate and repair any obstruction in the intake manifold connection. If no
obstruction is found there, make sure the PCV coolant heater is functional and repair as
necessary. If no concern is present, make sure the PCV valve is allowing the proper
vacuum flow and repair as necessary.",and,for the DTC.,,"DTC Code: P2072
Title: Throttle Actuator Control (TAC) System - Ice Breakage
System Description: This DTC only identifies that the strategy has carried out several open and close cycles to
remove potential ice build up. This DTC does not imply any system concerns, only that the
mode has occurred, and that mode may be causing a long start time.
Possible (cid:1) Ice or oil in the intake air system could be the result of a positive crankcase
Causes: ventilation (PCV) system concern
Diagnostic Check the PCV system for evidence of water or ice. Disconnect the intake air fresh air
Aids: plenum from the throttle body. Check for water or oily residue at the PCV fresh air port.
Disconnect the tube at the valve cover and check the tube for ice obstruction/ice. Start the
engine and, to check the PCV system, place a piece of cardboard on the crankcase vent in
the rocker cover. If the cardboard is held on the crankcase vent and fumes are not exiting,
reconnect the tube to the valve cover and the intake air port. If the test passes, the PCV
system is OK. If the cardboard is not held in place, turn off the engine and check the PCV
valve side of the system for ice or obstruction and repair as necessary. If no obstruction is
found there, isolate and repair any obstruction in the intake manifold connection. If no
obstruction is found there, make sure the PCV coolant heater is functional and repair as
necessary. If no concern is present, make sure the PCV valve is allowing the proper
vacuum flow and repair as necessary.
Possible Causes: and
Diagnostic Steps/Aids: for the DTC.
Vehicle Application: "
P2100,Powertrain,Throttle Actuator Control (TAC) Motor Circuit/Open,"A powertrain control module (PCM) fault flag is set indicating the motor circuit is open.
May require cycling the key.
Possible (cid:1) TAC motor has an open winding
Causes: (cid:1) TAC motor is damaged
(cid:1) TAC motor harness is open
(cid:1) TAC motor harness is short to PWR
(cid:1) TAC motor harness circuits are short together
(cid:1) TAC motor harness connector is unplugged
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:",N/A,N/A,,"DTC Code: P2100
Title: Throttle Actuator Control (TAC) Motor Circuit/Open
System Description: A powertrain control module (PCM) fault flag is set indicating the motor circuit is open.
May require cycling the key.
Possible (cid:1) TAC motor has an open winding
Causes: (cid:1) TAC motor is damaged
(cid:1) TAC motor harness is open
(cid:1) TAC motor harness is short to PWR
(cid:1) TAC motor harness circuits are short together
(cid:1) TAC motor harness connector is unplugged
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2101,Powertrain,Throttle Actuator Control (TAC) Motor Range/Performance,"A powertrain control module (PCM) fault flag is set indicating the motor circuit is open,
and may require cycling the key.
Possible (cid:1) TAC motor circuits are cross-wired
Causes:
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:",N/A,N/A,,"DTC Code: P2101
Title: Throttle Actuator Control (TAC) Motor Range/Performance
System Description: A powertrain control module (PCM) fault flag is set indicating the motor circuit is open,
and may require cycling the key.
Possible (cid:1) TAC motor circuits are cross-wired
Causes:
Diagnostic A TAC motor circuit PID reading may indicate a concern, if available.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2104,Powertrain,Throttle Actuator Control (TAC) System - Forced Idle,"The TAC system is in the failure mode effects management (FMEM) mode of forced idle.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.",N/A,N/A,,"DTC Code: P2104
Title: Throttle Actuator Control (TAC) System - Forced Idle
System Description: The TAC system is in the failure mode effects management (FMEM) mode of forced idle.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2105,Powertrain,Throttle Actuator Control (TAC) System - Forced Engine Shutdown,"The TAC system is in the failure mode effects management (FMEM) mode of forced
engine shutdown.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.",N/A,N/A,,"DTC Code: P2105
Title: Throttle Actuator Control (TAC) System - Forced Engine Shutdown
System Description: The TAC system is in the failure mode effects management (FMEM) mode of forced
engine shutdown.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P2106,Powertrain,Throttle Actuator Control (TAC) System - Forced Limited Power,"The TAC system is in the failure mode effects management (FMEM) mode of forced
limited power. This DTC indicates the FMEM action is in effect due to a concern in an
electronic throttle control (ETC) related component or module.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first. Do not install a new
electronic throttle body (ETB) for this DTC.",N/A,N/A,,"DTC Code: P2106
Title: Throttle Actuator Control (TAC) System - Forced Limited Power
System Description: The TAC system is in the failure mode effects management (FMEM) mode of forced
limited power. This DTC indicates the FMEM action is in effect due to a concern in an
electronic throttle control (ETC) related component or module.
Possible
Causes:
Diagnostic This DTC is an informational DTC and may be set in combination with a number of other
Aids: DTCs which are causing the FMEM. Diagnose other DTCs first. Do not install a new
electronic throttle body (ETB) for this DTC.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
